Namespace(batch_size=32, cont=False, dataset='modelnet40', dropout=0.5, epochs=250, eval=False, exp_name='spct_train', load_pretrain=False, lr=0.0001, model_path='', momentum=0.9, no_cuda=False, num_points=1024, pre_train=False, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 112, loss: 0.521813, train acc: 0.831433, train avg acc: 0.749842
Test 112, loss: 2.851962, test acc: 0.876013, test avg acc: 0.796262
Train 113, loss: 0.529480, train acc: 0.832858, train avg acc: 0.756207
Test 113, loss: 2.841880, test acc: 0.871151, test avg acc: 0.804110
Train 114, loss: 0.517596, train acc: 0.833673, train avg acc: 0.756878
Test 114, loss: 2.795670, test acc: 0.866694, test avg acc: 0.813983
Train 115, loss: 0.507602, train acc: 0.836930, train avg acc: 0.762630
Test 115, loss: 2.807889, test acc: 0.872366, test avg acc: 0.815087
Train 116, loss: 0.498327, train acc: 0.842529, train avg acc: 0.768188
Test 116, loss: 2.864085, test acc: 0.868720, test avg acc: 0.811895
Train 117, loss: 0.519657, train acc: 0.833673, train avg acc: 0.752950
Test 117, loss: 2.866697, test acc: 0.860211, test avg acc: 0.796384
Train 118, loss: 0.521410, train acc: 0.836828, train avg acc: 0.759417
Test 118, loss: 2.856715, test acc: 0.869530, test avg acc: 0.812855
Train 119, loss: 0.509796, train acc: 0.839780, train avg acc: 0.760942
Test 119, loss: 2.888685, test acc: 0.861831, test avg acc: 0.811593
Train 120, loss: 0.497861, train acc: 0.838762, train avg acc: 0.763978
Test 120, loss: 2.854960, test acc: 0.871961, test avg acc: 0.813529
Train 121, loss: 0.494937, train acc: 0.843852, train avg acc: 0.770569
Test 121, loss: 2.844940, test acc: 0.880470, test avg acc: 0.823302
Train 122, loss: 0.506756, train acc: 0.838762, train avg acc: 0.763250
Test 122, loss: 2.823183, test acc: 0.865478, test avg acc: 0.823099
Train 123, loss: 0.504082, train acc: 0.841612, train avg acc: 0.766084
Test 123, loss: 2.856041, test acc: 0.876823, test avg acc: 0.820692
Train 124, loss: 0.487566, train acc: 0.844564, train avg acc: 0.768751
Test 124, loss: 2.829260, test acc: 0.882901, test avg acc: 0.826959
Train 125, loss: 0.481328, train acc: 0.847211, train avg acc: 0.770075
Test 125, loss: 2.914395, test acc: 0.873987, test avg acc: 0.815738
Train 126, loss: 0.490048, train acc: 0.840086, train avg acc: 0.761609
Test 126, loss: 2.811908, test acc: 0.872771, test avg acc: 0.820523
Train 127, loss: 0.482422, train acc: 0.844768, train avg acc: 0.772507
Test 127, loss: 2.813231, test acc: 0.879660, test avg acc: 0.830837
Train 128, loss: 0.480790, train acc: 0.844157, train avg acc: 0.768841
Test 128, loss: 2.853326, test acc: 0.885737, test avg acc: 0.831721
Train 129, loss: 0.473252, train acc: 0.849654, train avg acc: 0.776704
Test 129, loss: 2.871286, test acc: 0.880065, test avg acc: 0.806581
Train 130, loss: 0.477162, train acc: 0.846600, train avg acc: 0.775619
Test 130, loss: 2.788703, test acc: 0.886953, test avg acc: 0.831047
